C27B7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T07H6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y37E11AL.6,42,42,42,42,42,41,42,42,43,42,43,42,42,42,42,42,41,42,43,42,43,41,41,42,42,45,42,41,42,41,41,42,42,41,43,41,41,41,42,44,42,41,43,44,44,44,42,42,42,41,43,42,42,43,42,44,41,42,41,42,43,41,41,41,42,41,42,42,41,41,41,42,41,42,42,43,41,44,42,42,42,42,42,42,41,43,42,42,42,41,42,41,41,45,42,43,42,42,41,42
bam-2,14,12,14,13,15,13,15,15,12,11,13,13,12,13,13,12,15,14,12,13,12,14,14,14,15,13,12,13,12,14,12,14,13,13,13,14,13,14,14,13,13,12,12,12,13,14,13,13,12,17,14,14,13,14,13,14,12,13,15,12,16,13,13,14,15,13,13,13,12,13,16,13,14,14,14,14,13,12,15,12,12,13,14,12,13,14,13,15,15,14,13,12,15,13,14,14,12,13,14,13
cam-1,70,72,71,72,75,71,71,69,71,72,70,75,70,74,70,69,73,74,73,70,71,69,72,70,71,69,73,70,71,70,72,68,73,71,70,71,70,70,72,71,71,72,70,72,72,73,70,71,72,72,70,72,72,70,71,70,75,71,69,71,71,70,71,69,69,73,69,71,70,74,70,72,69,72,72,70,72,71,72,69,71,70,71,74,72,70,69,71,70,70,69,68,69,70,72,70,73,72,70,69
casy-1,70,68,69,70,68,69,69,70,68,69,72,68,70,71,71,68,70,68,68,69,69,71,68,70,71,72,70,70,69,70,71,68,68,70,70,67,70,70,71,72,70,69,73,71,70,69,73,71,70,70,68,72,69,70,70,72,70,69,70,70,71,72,70,72,69,68,69,70,70,67,70,71,68,69,71,70,68,69,68,69,69,69,70,71,72,70,68,68,69,68,71,69,69,69,69,71,69,69,71,70
cdh-1,49,48,48,49,49,49,51,49,50,49,50,48,49,49,50,50,51,49,48,49,48,49,49,49,51,48,48,48,49,49,48,49,50,51,49,49,52,49,50,49,48,49,49,50,48,49,53,49,48,48,49,48,50,50,51,50,48,49,49,48,48,49,49,51,48,48,49,50,49,49,49,48,50,48,49,49,48,48,49,49,49,49,50,50,51,49,48,49,48,50,48,48,49,48,49,50,51,49,49,48
cdh-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdh-12,11,11,11,11,12,14,13,11,12,12,13,12,11,11,13,11,12,11,13,11,11,11,12,12,12,11,12,15,12,11,11,12,12,12,12,11,13,12,12,12,11,11,11,12,12,12,12,11,13,12,12,12,12,11,12,12,12,14,12,12,11,11,12,11,11,12,11,11,11,11,11,11,12,15,13,12,11,11,11,11,12,11,10,11,13,11,11,13,12,12,11,12,11,11,11,13,11,11,12,14
cdh-3,43,45,43,44,43,44,45,45,43,44,42,44,44,43,44,43,47,44,45,43,43,46,42,42,45,43,43,42,43,44,42,43,43,43,45,44,44,46,43,42,45,44,43,43,44,44,43,44,44,43,44,44,42,44,43,42,43,43,43,42,44,43,42,42,46,43,44,42,44,44,45,42,45,45,45,43,43,43,44,47,43,47,44,43,44,44,42,41,42,43,43,43,45,42,43,43,44,43,43,44
cdh-4,70,69,70,70,71,68,70,69,73,70,70,70,70,68,71,69,71,70,70,71,71,72,69,70,70,70,70,71,72,70,69,68,69,70,71,71,71,68,69,69,73,70,68,69,70,71,72,70,70,70,71,67,71,69,70,68,69,73,69,69,70,69,69,67,72,68,72,70,71,69,68,71,71,68,68,67,69,70,69,70,70,69,71,69,68,70,71,69,70,69,69,68,70,70,70,71,69,71,70,72
cdh-5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
cdh-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdh-8,42,43,43,46,44,42,43,43,45,43,45,42,43,42,42,43,46,42,42,42,43,43,43,44,42,44,44,44,43,42,45,44,44,44,43,43,43,42,43,44,42,45,42,43,43,43,42,43,42,43,41,47,42,43,47,45,43,42,43,45,42,44,42,42,45,43,44,43,44,44,42,46,44,43,43,42,44,43,45,42,45,44,43,42,44,45,42,45,44,43,44,44,44,43,43,43,42,43,45,43
cdh-9,61,62,63,60,62,62,64,62,61,62,61,62,60,61,62,60,62,64,60,62,61,60,62,60,65,61,61,61,62,61,61,62,61,62,63,62,60,60,61,61,61,62,61,60,61,61,63,65,62,63,63,62,63,63,62,62,61,63,62,60,60,64,60,62,63,60,61,63,61,61,63,64,62,63,62,62,62,61,62,62,63,64,63,63,61,62,63,62,62,63,60,62,60,62,60,62,63,61,62,62
clr-1,70,70,71,70,69,67,68,68,69,70,70,69,67,69,69,70,70,70,71,69,69,67,68,69,71,68,69,69,70,68,71,71,70,69,70,69,69,68,71,69,70,67,68,69,71,70,68,70,69,71,69,69,69,69,70,70,70,69,69,67,69,68,69,71,71,69,68,68,71,68,69,70,70,69,72,70,71,69,68,70,69,70,69,69,70,68,69,68,70,70,69,72,71,68,69,69,69,67,68,70
dig-1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4,5,5,4
dma-1,66,66,69,67,66,65,67,65,65,66,66,67,65,64,65,67,67,66,67,69,67,67,68,66,66,66,69,65,68,64,67,67,65,65,66,66,65,68,65,66,66,66,66,66,64,66,66,65,64,65,67,69,67,68,66,67,66,67,70,64,65,66,66,67,67,64,68,66,66,67,65,70,66,66,67,66,65,66,66,65,66,67,66,67,67,66,67,67,67,66,66,66,67,66,68,66,66,66,66,67
