ADAL,I1,4606,-1,-1
ADAL,I1,113,91,96
ADAL,I1,5713,61,526
ADAR,I1,159,60,483
ADEL,Sp2,42,-1,-1
ADEL,Sp2,230,51,183
ADEL,Sp2,5733,172,529
ADER,Sp2,43,177,487
ADER,Sp2,270,70,183
ADFL,Sp2,91,71,286
ADFL,Sp2,219,2,183
ADFR,Sp2,178,66,277
ADFR,Sp2,272,2,183
ADLL,Sp2,203,82,209
ADLL,Sp2,236,2,183
ADLR,Sp2,198,-1,-1
ADLR,Sp2,288,-1,-1
ADLR,Sp2,298,2,183
AFDL,Sp2,82,80,260
AFDL,Sp2,296,2,183
AFDR,Sp2,183,71,260
AFDR,Sp2,273,2,183
AIAL,I1,70,-1,-1
AIAL,I1,9095,85,338
AIAL,I1,9091,-1,-1
AIAR,I1,299,79,334
AIBL,I1,123,50,264
AIBR,I1,120,51,263
AIML,I1,69,89,385
AIMR,I1,171,82,345
AINL,I1,184,71,249
AINR,I1,83,61,259
AINR,I1,266,-1,-1
AIYL,I1,93,-1,-1
AIYL,I1,81,79,385
AIYR,I1,180,67,345
AIZL,I1,119,57,289
AIZR,I1,300,-1,-1
AIZR,I1,1147,52,285
ALA,I1,200,85,222
ALML,Sp2,30,100,183
ALML,Sp2,223,-1,-1
ALMR,Sp2,65,96,183
ALMR,Sp2,259,108,183
ALNL,Sp2,226,70,183
ALNR,Sp2,265,54,183
AQR,Sp2,73,-1,-1
AQR,Sp2,146,-1,-1
AQR,Sp2,10244,58,494
AQR,Sp2,10246,-1,-1
ASEL,Sp2,80,73,280
ASEL,Sp2,214,2,183
ASER,Sp2,188,73,281
ASER,Sp2,274,2,183
ASER,Sp2,297,-1,-1
ASER,Sp2,318,-1,-1
ASGL,Sp1,75,138,286
ASGL,Sp1,216,2,183
ASGR,Sp1,173,109,284
ASGR,Sp1,263,2,183
ASHL,Sp2,71,-1,-1
ASHL,Sp2,211,2,183
ASHL,Sp2,3335,-1,-1
ASHL,Sp2,9096,80,289
ASHR,Sp2,176,72,292
ASHR,Sp2,275,2,183
ASIL,Sp2,186,90,293
ASIR,Sp2,261,2,183
ASIR,Sp2,2210,81,269
ASJL,Sp2,213,2,183
ASJL,Sp2,306,88,272
ASJR,Sp2,168,82,273
ASJR,Sp2,277,2,183
ASKL,Sp2,239,2,183
ASKL,Sp2,317,-1,-1
ASKL,Sp2,5640,82,269
ASKR,Sp2,169,-1,-1
ASKR,Sp2,197,2,183
ASKR,Sp2,167,81,270
AUAL,I1,92,65,280
AUAL,I1,212,2,183
AUAR,I1,181,59,276
AUAR,I1,276,2,183
AVAL,I1,124,54,2551
AVAL,I1,209,-1,-1
AVAR,I1,3,56,2551
AVAR,I1,7026,-1,-1
AVBL,I1,58,65,2551
AVBR,I1,27,70,2551
AVBR,I1,148,-1,-1
AVBR,I1,290,147,183
AVDL,I1,145,56,2471
AVDR,I1,28,60,2551
AVDR,I1,7054,-1,-1
AVEL,I2,7028,-1,-1
AVEL,I2,140,-1,-1
AVEL,I2,208,17,1548
AVER,I2,118,27,1545
AVFL,I1,153,-1,-1
AVFL,I1,7021,77,2490
AVFR,I1,5,-1,-1
AVFR,I1,151,-1,-1
AVFR,I1,7020,80,2551
AVFR,I1,7133,-1,-1
AVHL,I1,175,70,2490
AVHL,I1,235,-1,-1
AVHR,I1,88,76,2490
AVHR,I1,268,-1,-1
AVHR,I1,7046,-1,-1
AVHR,I1,7172,-1,-1
AVJL,I1,154,70,2471
AVJL,I1,234,-1,-1
AVJL,I1,9143,-1,-1
AVJR,I1,17,-1,-1
AVJR,I1,269,-1,-1
AVJR,I1,10241,76,2551
AVJR,I1,10242,-1,-1
AVKL,I2,128,39,2510
AVKL,I2,139,-1,-1
AVKL,I2,7022,-1,-1
AVKR,I2,126,-1,-1
AVKR,I2,138,-1,-1
AVKR,I2,7013,-1,-1
AVKR,I2,7215,33,2369
AVL,I2,131,32,2471
AVL,I2,320,53,265
AVL,I2,36,-1,-1
AVL,I2,116,93,316
AVL,I2,1257,-1,-1
AVL,I2,1262,2,125
AVL,I2,2123,-1,-1
AVM,Sp1,-999,151,200
AVM,Sp1,15,2,1570
AVM,Sp1,64,-1,-1
AVM,Sp1,285,-1,-1
AVM,Sp1,5747,-1,-1
AWAL,Sp2,90,82,283
AWAL,Sp2,218,2,183
AWAL,Sp2,7059,-1,-1
AWAR,Sp2,182,78,283
AWAR,Sp2,262,2,183
AWBL,Sp2,89,77,274
AWBL,Sp2,217,2,183
AWBR,Sp2,177,2,280
AWCL,Sp2,78,-1,-1
AWCL,Sp2,210,2,183
AWCL,Sp2,1282,79,269
AWCR,Sp2,79,82,269
AWCR,Sp2,187,-1,-1
AWCR,Sp2,278,2,183
BAGL,Sa,1244,2,167
BAGL,Sa,1289,-1,-1
BAGR,Sa,1243,2,139
BDUL,I1 ,20,83,532
BDUR,I1,67,79,491
CEPDL,Sa,293,2,170
CEPDL,Sa,7063,-1,-1
CEPDR,Sa,1314,2,141
CEPDR,Sa,7047,-1,-1
CEPVL,Sa,32,2,210
CEPVL,Sa,7040,-1,-1
CEPVR,Sa,304,2,167
DVA,Sp2,143,56,2551
DVC,I2,312,46,2550
DVC,I2,3018,-1,-1
FLPL,Sa,233,2,183
FLPL,Sa,241,2,183
FLPL,Sa,252,150,243
FLPL,Sa,5718,201,527
FLPL,Sa,7966,201,935
FLPL,Sa,8005,1034,1361
FLPL,Sa,8212,943,1011
FLPR,Sa,242,150,233
FLPR,Sa,243,2,671
FLPR,Sa,267,2,183
FLPR,Sa,5717,201,480
FLPR,Sa,7034,-1,-1
FLPR,Sa,8187,982,1300
FLPR,Sa,8201,505,1005
GLRDL,GL,1323,2,136
GLRDL,GL,4334,-1,-1
GLRDR,GL,1315,-1,-1
GLRDR,GL,4333,2,129
GLRR,GL,193,2,183
GLRVL,GL,205,2,183
HSNL,XMN,156,75,2369
HSNL,XMN,6653,-1,-1
HSNL,XMN,10292,-1,-1
HSNL,XMN,10295,2196,2207
HSNR,XMN,11,75,2471
HSNR,XMN,66,-1,-1
HSNR,XMN,9139,-1,-1
HSNR,XMN,10354,-1,-1
HSNR,XMN,10359,-1,-1
IL1DL,Sa,1270,2,99
IL1DR,Sa,1304,2,90
IL1L,Sa,324,2,127
IL1R,Sa,1831,2,112
IL1VL,Sa,1247,2,136
IL1VR,Sa,1279,2,126
IL2DL,Sa,1271,2,100
IL2DR,Sa,1307,2,90
IL2L,Sa,1242,2,123
IL2R,Sa,1291,2,108
IL2VL,Sa,5064,2,128
IL2VR,Sa,1317,2,118
Mus,HMU,332,-1,-1
Mus,HMU,9107,-1,-1
Mus,HMU,9109,-1,-1
Mus,HMU,9111,-1,-1
Mus,HMU,333,-1,-1
Mus,HMU,337,-1,-1
Mus,HMU,345,-1,-1
Mus,HMU,350,-1,-1
Mus,HMU,361,-1,-1
Mus,HMU,1306,-1,-1
Mus,HMU,6361,-1,-1
Mus,HMU,6364,-1,-1
Mus,HMU,7122,-1,-1
Mus,HMU,7184,-1,-1
OLLL,Sa,364,-1,-1
OLLL,Sa,1265,2,122
OLLR,Sa,1148,2,119
OLQDL,Sa,1016,2,96
OLQDR,Sa,1310,2,88
OLQVL,Sa,1255,3,129
OLQVR,Sa,948,2,118
