EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
N2U	5809	Not NR	AIYL	AIZL,RIAL,RIBL	chemical	23	3	AIZL	RIAL	RIBL	
N2U	2962	Not NR	RIGR	RIGL	electrical	20	1	RIGL			
N2U	456	Not NR	FLPL	AVDL,ADEL	chemical	19	2	AVDL	ADEL		
N2U	5795	Not NR	ASGL	AIAL	chemical	17	1	AIAL			
N2U	6061	Not NR	SMBVR	SAAVL	electrical	17	1	SAAVL			
N2U	6095	Not NR	PVPR	AQR	electrical	17	1	AQR			
N2U	4887	NR 45 deg	RMEV	GLRVR	electrical	17	1	GLRVR			
N2U	913	Not NR	AVM	ALMR	electrical	16	1	ALMR			
N2U	5784	Not NR	ASGR	AIAR	chemical	15	1	AIAR			
N2U	5848	Not NR	AIYR	RIAR,AIZR,RIBR	chemical	15	3	RIAR	AIZR	RIBR	
N2U	4618	NR 45 deg	RIGR	AVKL,RMHL	chemical	14	2	AVKL	RMHL		
N2U	6087	Not NR	RIGR	RIGL	electrical	14	1	RIGL			
N2U	6303	Not NR	RIGR	RIGL	electrical	14	1	RIGL			
N2U	8180	Not NR	FLPR	DA03	electrical	14	1	DA03			
JSE	320		PHBL	AVAL,PVCL	chemical	13	2	AVAL	PVCL		
N2U	503	Not NR	ADFR	RIAR,SMBVR,AIZR	chemical	13	3	RIAR	SMBVR	AIZR	
N2U	750	NR 45 deg	RIAR	RMDDR,RMDVL	chemical	13	2	RMDDR	RMDVL		
N2U	3767	NR 45 deg	RMDDR	dBWML4,RMDVL	chemical	13	2	dBWML4	RMDVL		
N2U	3620	NR in plane	RIGL	RMHR,AVKR	chemical	13	2	RMHR	AVKR		
N2U	6209	Not NR	SABVL	AVAR	electrical	13	1	AVAR			
N2U	9783	Not NR	SIBVL	SIBDL	electrical	13	1	SIBDL			
N2U	6059	Not NR	RIVR	RIVL	electrical	12	1	RIVL			
JSE	266		LUAL	AVAR,AVDL	chemical	11	2	AVAR	AVDL		
JSE	272		PHBR	AVAR,PVCL	chemical	11	2	AVAR	PVCL		
N2U	769	NR 45 deg	RMDVL	vBWMR2,RMDDR,vBWMR3,vBWMR6	chemical	11	4	vBWMR2	RMDDR	vBWMR3	vBWMR6
N2U	1419	NR 45 deg	AIZR	AVEL,AIBL	chemical	11	2	AVEL	AIBL		
N2U	6062	Not NR	DVA	AVBL	electrical	11	1	AVBL			
N2U	6122	Not NR	DB01	AVBR	electrical	11	1	AVBR			
N2U	6417	Not NR	RIGR	RIGL	electrical	11	1	RIGL			
N2U	10285	Not NR	PVPL	AQR	electrical	11	1	AQR			
N2U	5568	NR 45 deg	IL1VR	IL1VL	electrical	11	1	IL1VL			
JSE	359		PHBL	AVAL,PVCL	chemical	10	2	AVAL	PVCL		
JSE	990		PHBR	AVHL	electrical	10	1	AVHL			
N2U	444	Not NR	SDQR	AVBR,RMHL	chemical	10	2	AVBR	RMHL		
N2U	5787	Not NR	AIYR	RIAR,AIZR,RIBR	chemical	10	3	RIAR	AIZR	RIBR	
N2U	5895	Not NR	AIAL	RIFL,AIBL	chemical	10	2	RIFL	AIBL		
N2U	6479	Not NR	FLPL	AVAR,AVBR,AVBL,AVDR	chemical	10	4	AVAR	AVBR	AVBL	AVDR
N2U	1610	NR 45 deg	IL2VR	RIPR,RMEV,RMER,IL1VR	chemical	10	4	RIPR	RMEV	RMER	IL1VR
N2U	4043	NR 45 deg	RIH	RIPL,OLQVL	chemical	10	2	RIPL	OLQVL		
N2U	2926	NR in plane	CEPDL	OLQDL,IL1DL	chemical	10	2	OLQDL	IL1DL		
N2U	9800	Not NR	SIBVR	SIBDR	electrical	10	1	SIBDR			
