contin Number	EM series	Location	pre	post   	type    	sections   	partner Number	post1     	post2   	post3 	post4   
2746	N2Y		HOA	PHCL	chemical	41	1	PHCL			
6025	N930	Not NR	AIYR	RIAR,AIZR,RIBR	chemical	39	3	RIAR	AIZR	RIBR	
4842	N930	NR 45 deg	RIH	OLQVR,RIPR	chemical	34	2	OLQVR	RIPR		
11307	N2Y		VB08	AVAL	electrical	30	1	AVAL			
4647	N930	Not NR	[AIYL]	RIBL,[AIZL],RIAL	chemical	30	3	RIBL	[AIZL]	RIAL	
8845	N930	Not NR	AVM	ALMR	electrical	29	1	ALMR			
6312	N930	Not NR	[RIGR]	[RIGL]	electrical	29	1	[RIGL]			
11488	N2Y		PCAR	HOA	electrical	28	1	HOA			
7675	N2Y		PHBR	PHAR	electrical	28	1	PHAR			
7585	N2Y		PCCR	PCCL	electrical	26	1	PCCL			
11506	N2Y		CA06	CA05	electrical	25	1	CA05			
4612	N930	NR in plane	SMBDL	RMED,mus-DR	chemical	25	2	RMED	mus-DR		
6264	N930	Not NR	[AIYL]	[AIZL],RIAL,RIBL	chemical	24	3	[AIZL]	RIAL	RIBL	
6131	N930	Not NR	AIAL	RIFL,[AIBL],AIAL	chemical	24	3	RIFL	[AIBL]	AIAL	
4478	N930	NR 45 deg	RIAR	RMDDR,RMDVL	chemical	24	2	RMDDR	RMDVL		
747	N930	NR 45 deg	[IL1VR]	IL1VL	electrical	24	1	IL1VL			
693	N2Y		PHAR	R9BL,EF1,PVZ	chemical	24	3	R9BL	EF1	PVZ	
8558	N2Y		vspL	dspL	electrical	23	1	dspL			
7954	N930	Not NR	VGmid	VGfrag	electrical	23	1	VGfrag			
6982	N2Y		R5AR	PDC	electrical	23	1	PDC			
6144	N930	Not NR	[AIYL]	RIBL,[AIZL],RIAL	chemical	23	3	RIBL	[AIZL]	RIAL	
9809	N2Y		VB09	AVAR	electrical	22	1	AVAR			
9990	N2Y		VA09	AVAL	electrical	21	1	AVAL			
2867	N2Y		PHDR	EF1,PVNR	chemical	21	2	EF1	PVNR		
2212	N930	Not NR	ABRP-17	ABR-3	electrical	21	1	ABR-3			
2199	N930	Not NR	[SMDVL]	SMDVR	electrical	21	1	SMDVR			
7534	N930	Not NR	[ASGL]	AIAL	chemical	20	1	AIAL			
6836	N2Y		R8AR	R8AL	electrical	20	1	R8AL			
4561	N930	NR 45 deg	IL1VL	mus-VL,RMDDL,RIPL	chemical	20	3	mus-VL	RMDDL	RIPL	
755	N2Y		PHAR	R9BL,EF2	chemical	20	2	R9BL	EF2		
7280	N2Y		PHAR	PHAL	electrical	19	1	PHAL			
6927	N2Y		R6AR	CP09	electrical	19	1	CP09			
6273	N930	NR in plane	SMBDR	mus-DL,nRfrag	chemical	19	2	mus-DL	nRfrag		
6809	N2Y		R3BL	PVV	electrical	18	1	PVV			
1108	N2Y		PCAL	R8AL,PVX,R9AL	chemical	18	3	R8AL	PVX	R9AL	
324	N2Y		HOB	EF2,EF1,HOB,DVE,SPCR	chemical	18	5	EF2	EF1	HOB	
8555	N2Y		vspL	dspL	electrical	17	1	dspL			
8194	N2Y		PDC	DB07	electrical	17	1	DB07			
7334	N2Y		[AVL]	PDB	electrical	17	1	PDB			
6823	N2Y		R5AR	PDC	electrical	17	1	PDC			
6621	N930	Not NR	[vc-1022]	AVAR,[AVDR],[vc-support]	chemical	17	3	AVAR	[AVDR]	[vc-support]	
5716	N930	Not NR	SIBVL	SIBDL	electrical	17	1	SIBDL			
2731	N2Y		HOA	PHCL,[CP02],R8AL	chemical	17	3	PHCL	[CP02]	R8AL	
11509	N2Y		PVNL	AVBL	electrical	16	1	AVBL			
8560	N2Y		vspL	dspL	electrical	16	1	dspL			
8183	N2Y		VD12	VD11	electrical	16	1	VD11			
7539	N930	Not NR	VGfrag1	[AIAR]	chemical	16	1	[AIAR]			
7211	N2Y		PVNR	PVNL	electrical	16	1	PVNL			
6983	N2Y		R5AR	PDC	electrical	16	1	PDC			
2356	N2Y		LUAL	AVAR,AVDR	chemical	16	2	AVAR	AVDR		
1792	N930	Not NR	CEMVR	AVDL,[AVBL],[AVBR]	chemical	16	3	AVDL	[AVBL]	[AVBR]	
424	N2Y		R2BL	R4AL,R6AL,R7BL	chemical	16	3	R4AL	R6AL	R7BL	
284	N2Y		R6BR	R9BL,R3BL	chemical	16	2	R9BL	R3BL		
264	N2Y		R3BL	EF1	chemical	16	1	EF1			
10592	N2Y		DA06	AVAL	electrical	15	1	AVAL			
10180	N930	Not NR	[ASHR]	[AIAR],AVDL	chemical	15	2	[AIAR]	AVDL		
9491	N2Y		VD10	VD09	electrical	15	1	VD09			
7454	N930	NR 45 deg	URAVL	mus-VL,RIPL	chemical	15	2	mus-VL	RIPL		
6664	N930	Not NR	vc-left-11	AVAR	electrical	15	1	AVAR			
4630	N930	Not NR	[ASGL]	AIAL	chemical	15	1	AIAL			
4624	N930	Not NR	[ASGR]	[AIAR]	chemical	15	1	[AIAR]			
4615	N930	NR in plane	SMBDL	mus-DR,RMED	chemical	15	2	mus-DR	RMED		
2138	N2Y		PHAR	PVX,CP07	chemical	15	2	PVX	CP07		
1000	N2Y		HOA	PHCR,R8AR	chemical	15	2	PHCR	R8AR		
11502	N2Y		CA06	CA05	electrical	14	1	CA05			
10183	N930	Not NR	ADLR	AVDL,AIBR	chemical	14	2	AVDL	AIBR		
8981	N930	NR 45 deg	[RIGL]	OLLL	electrical	14	1	OLLL			
8642	N2Y		dglL6	[mus]	electrical	14	1	[mus]			
8583	N2Y		vspL	adp	electrical	14	1	adp			
7423	N2Y		PVZ	CA05	electrical	14	1	CA05			
7248	N930	NR 45 deg	IL1VR	IL1R	electrical	14	1	IL1R			
6799	N2Y		R2AR	EF1	electrical	14	1	EF1			
6711	N2Y		PCAR	CP08,PVX	chemical	14	2	CP08	PVX		
6619	N930	Not NR	vc-right-21	[AVBL],AVAL,contin2922	chemical	14	3	[AVBL]	AVAL	contin2922	
6394	N930	Not NR	VGfrag1	[AIAR]	chemical	14	1	[AIAR]			
6354	N930	Not NR	[AVBL]	SIBDL,[AVBL]	electrical	14	2	SIBDL	[AVBL]		
6025	N930	Not NR	AIYR	RIAR,AIZR,RIBR,SIBDR	chemical	14	4	RIAR	AIZR	RIBR	SIBDR
5810	N930	NR 45 deg	lillefty	lefty	electrical	14	1	lefty			
5694	N930	Not NR	RIR	BAGL	electrical	14	1	BAGL			
5097	N930	NR 45 deg	NRLfrag	AVEL	chemical	14	1	AVEL			
4918	N930	NR 45 deg	IL1R	mus-VR,RMDVR	chemical	14	2	mus-VR	RMDVR		
4632	N930	Not NR	AIYR	RIAR,AIZR,RIBR	chemical	14	3	RIAR	AIZR	RIBR	
4568	N930	NR 45 deg	IL1VL	RMDDL,RIPL	chemical	14	2	RMDDL	RIPL		
1614	N930	Not NR	DVA	RIR,AVEL	chemical	14	2	RIR	AVEL		
1097	N2Y		HOA	[CP02],R8AL,PHCL	chemical	14	3	[CP02]	R8AL	PHCL	
312	N2Y		R3BL	EF3,PQR	chemical	14	2	EF3	PQR		
11512	N2Y		PHBL	PHAL	electrical	13	1	PHAL			
11510	N2Y		PVQR	PVQL	electrical	13	1	PVQL			
10732	N930	Not NR	[DVA]	[AVBR]	electrical	13	1	[AVBR]			
9570	N2Y		DB06	AVBL	electrical	13	1	AVBL			
9158	N930	NR 45 deg	[RIGR]	OLLR	electrical	13	1	OLLR			
8557	N2Y		vspL	adp	electrical	13	1	adp			
8158	N2Y		PHAR	AVHR	electrical	13	1	AN1b			
7652	N2Y		PVQR	PHAR	electrical	13	1	PHAR			
7006	N930	NR 45 deg	SMDVR	RMED,SMDDL,mus-V	chemical	13	3	RMED	SMDDL	mus-V	
5778	N930	NR in plane	hyp	CEPshDR	electrical	13	1	CEPshDR			
5690	N930	NR 45 deg	[RIMR]	AVAL	electrical	13	1	AVAL			
4861	N2Y		unk6026	pobR	chemical	13	1	pobR			
4859	N930	Not NR	SDQR	[AVBL],DVA	chemical	13	2	[AVBL]	DVA		
4611	N930	NR in plane	SMBDL	mus-D,RMED,mus-DR	chemical	13	3	mus-D	RMED	mus-DR	
2565	N2Y		PHAL	PVX,PHAR,R8AR	chemical	13	3	PVX	PHAR	R8AR	
2227	N930	NR in plane	[ADLR]	[ADLL]	electrical	13	1	[ADLL]			
1808	N930	Not NR	PLNL	SAADL,SMBVL	chemical	13	2	SAADL	SMBVL		
1677	N930	Not NR	SAAVL	SMDDR,AVAL	chemical	13	2	SMDDR	AVAL		
1274	N2Y		R8BL	PHCL	chemical	13	1	PHCL			
1273	N2Y		R1BL	PDB,PVV	chemical	13	2	PDB	PVV		
11491	N2Y		unk5980	hyp	electrical	12	1	hyp			
10414	N930	Not NR	[AIAR]	VGfrag2,vc-right-31	chemical	12	2	VGfrag2	vc-right-31		
9743	N2Y		VB09	AVAR	electrical	12	1	AVAR			
8262	N930	Not NR	RIH	RIAR,RIBR	chemical	12	2	RIAR	RIBR		
8200	N2Y		CP07	AS11	electrical	12	1	AS11			
7974	N930	NR 45 deg	SMDVR	NRmotor	electrical	12	1	NRmotor			
7939	N930	Not NR	neuron?	VGmid	electrical	12	1	VGmid			
7936	N930	Not NR	[AVBR]	[AVBL]	electrical	12	1	[AVBL]			
7718	N2Y		PVQR	PVQL	electrical	12	1	PVQL			
7540	N930	Not NR	AIYR	AIZR,RIBR	chemical	12	2	AIZR	RIBR		
7002	N2Y		[CA04]	PVV	electrical	12	1	PVV			
6714	N2Y		HOB	PVV,PCAR,DX2	chemical	12	3	PVV	PCAR	DX2	
5622	N930	NR 45 deg	RMDVR	RMDDL,mus-VL	chemical	12	2	RMDDL	mus-VL		
5342	N930	NR 45 deg	[AIBL]	[AVBL],[RIMR]	chemical	12	2	[AVBL]	[RIMR]		
5295	N930	NR 45 deg	OLQVL	RICL	chemical	12	1	RICL			
5026	N930	NR 45 deg	RMGL	RMDVL,RMDR	chemical	12	2	RMDVL	RMDR		
4702	N930	NR 45 deg	RMED	mus-V,SMDDR	chemical	12	2	mus-V	SMDDR		
4632	N930	Not NR	AIYR	RIAR,AIZR,RIBR	chemical	12	3	RIAR	AIZR	RIBR	
4429	N2Y		PHAL	PHCL	chemical	12	1	PHCL			
4316	N2Y		PCCL	aobL,CP06,pobL	chemical	12	3	aobL	CP06	pobL	
2833	N2Y		PHAR	EF1,PHBR	chemical	12	2	EF1	PHBR		
2708	N2Y		HOB	DVF,[CP02],PHCL	chemical	12	3	DVF	[CP02]	PHCL	
2284	N2Y		PHDR	PVNL,EF3,PHDL,EF2	chemical	12	4	PVNL	EF3	PHSONL	EF2
2279	N2Y		unknown100	EF1,EF2	chemical	12	2	EF1	EF2		
1233	N2Y		CP09	R6AL,CP07,PVV	chemical	12	3	R6AL	CP07	PVV	
1085	N2Y		R8AL	PHCL	chemical	12	1	PHCL			
723	N2Y		R6BR	R9BL,EF1	chemical	12	2	R9BL	EF1		
95	N2Y		R2BR	PHCR,R8AR	chemical	12	2	PHCR	R8AR		
11545	N2Y		sph	dglL5	electrical	11	1	dglL5			
11524	N2Y		dglL4	[sph]	electrical	11	1	[sph]			
10984	N2Y		AVAL	AS07	electrical	11	1	AS07			
10924	N2Y		DA06	AVAL	electrical	11	1	AVAL			
10206	N930	NR 45 deg	RMDR	RMDDR	electrical	11	1	RMDDR			
9329	N930	NR in plane	[AFDL]	[AIYL]	chemical	11	1	[AIYL]			
8783	N930	NR 45 deg	AIBR	[RIML],[AVBR]	chemical	11	2	[RIML]	[AVBR]		
8775	N2Y		dglR7	dglR6	electrical	11	1	dglR6			
8660	N2Y		PCBL	HOA	electrical	11	1	HOA			
8403	N930	Not NR	[ASGR]	[AIAR]	chemical	11	1	[AIAR]			
8388	N2Y		dBWML23	cdlL	electrical	11	1	cdlL			
8146	N930	Not NR	vc-com-6081	AVAL	electrical	11	1	AVAL			
8103	N2Y		VB11	VB10	electrical	11	1	VB10			
8043	N930	Not NR	[EF3]	[AVBR],[MCMR],PVS,[RIFR]	chemical	11	4	[AVBR]	[MCMR]	PVPR	[RIFR]
8034	N930	Not NR	AIZR	AVEL,[AIBL]	chemical	11	2	AVEL	[AIBL]		
7643	N2Y		PVQR	PHAR	electrical	11	1	PHAR			
7153	N2Y		R2AL	EF3	electrical	11	1	EF3			
7049	N930	NR 45 deg	RMDVL	mus-V,RMDDR	chemical	11	2	mus-V	RMDDR		
7004	N2Y		[CA04]	PVV	electrical	11	1	PVV			
6825	N2Y		R5BR	AVKL	electrical	11	1	AVKL			
6819	N2Y		PCCR	PCCL	electrical	11	1	PCCL			
