ADAL,371573,2844848
ADAR,374224,2766091
ADEL,509066,5158424
ADER,403576,4458887
ADFL,312770,3366331
ADFR,274822,3261100
ADLL,338613,5122068
ADLR,248807,3921107
AFDL,267006,3150608
AFDR,270183,3743291
AIAL,766385,19893480
AIAR,768326,25643338
AIBL,685810,7308903
AIBR,634320,7955160
AIML,316124,2841305
AIMR,315521,3292329
AINL,385972,4195190
AINR,397952,4132627
AIYL,506267,4681423
AIYR,455215,4948549
AIZL,544489,6748125
AIZR,513707,6990406
ALA,394991,11579850
ALML,212599,2657653
ALMR,233384,3347402
ALNL,171442,1622433
ALNR,139402,1192446
AQR,456160,4782270
ASEL,401533,4245156
ASER,502623,6798050
ASGL,245136,2551111
ASGR,220467,2646873
ASHL,393955,4953252
ASHR,363499,4836494
ASIL,274819,2777236
ASIR,269114,3093716
ASJL,294028,3542936
ASJR,293165,4133428
ASKL,273452,3205651
ASKR,278129,3808860
AUAL,404384,4769690
AUAR,373684,4938531
AVAL,963693,33002013
AVAR,934486,36284280
AVBL,681898,7944713
AVBR,642344,7237383
AVDL,398785,3248370
AVDR,379687,2930918
AVEL,813696,19425832
AVER,739330,21523492
AVFL,365452,3637461
AVFR,376617,3294843
AVHL,364577,3096260
AVHR,403621,3088105
AVJL,327650,2694263
AVJR,300690,2244220
AVKL,678329,6709103
AVKR,731412,7096395
AVL,560762,5283499
AVM,311357,2940946
AWAL,316569,3615156
AWAR,283290,3658179
AWBL,238853,2290458
AWBR,226872,2465775
AWCL,557568,6867114
AWCR,513659,6380985
BAGL,601338,22062788
BAGR,786713,29654696
BDUL,220268,1687980
BDUR,191536,1496595
CEPDL,543405,15649132
CEPDR,543777,16029023
CEPVL,529308,14462621
CEPVR,550532,16089171
DVA,838214,12892776
DVC,510243,5686234
FLPL,268336,2676003
FLPR,212323,2429371
HSNR,189845,1455651
IL1DL,180874,2250119
IL1DR,207762,3093906
IL1L,263862,3380477
IL1R,376387,6624875
IL1VL,397753,12604163
IL1VR,246859,3778027
IL2DL,82432,459393
IL2DR,108722,730484
IL2L,197945,1930100
IL2R,212838,2308261
IL2VL,144759,1262432
IL2VR,147197,1520419
OLLL,395631,4877694
OLLR,455003,5109236
OLQDL,140470,1397739
OLQDR,241478,2879484
OLQVL,416059,14400432
OLQVR,404220,13872394
PLNL,261311,2006845
PLNR,275059,2593076
PVCL,323408,2973476
PVCR,371822,3356986
PVNL,256784,1538658
PVPL,337622,3800202
PVPR,303974,3715435
PVQL,378372,5294087
PVQR,365378,5730877
PVR,432118,4841524
PVT,532474,6320346
Pharynx,1665854,469946059
Phi_Marker,86717,2057280
RIAL,1050541,24353758
RIAR,957493,26096657
RIBL,561251,6431777
RIBR,547015,6255700
RICL,495468,5578814
RICR,468161,5251754
RID,928994,27074859
RIFL,370357,4396616
RIFR,402961,5094248
RIGL,515681,7666997
RIGR,523469,7498958
RIH,1156485,37183136
RIML,868689,12489192
RIMR,848227,12976749
RIPL,215573,1424155
RIPR,316137,6240642
RIR,859372,28085643
RIS,1077679,15554730
RIVL,380882,3757450
RIVR,459278,3792801
RMDDL,839425,21482940
RMDDR,887637,22080533
RMDL,886940,22815379
RMDR,864403,23850418
RMDVL,1014959,20547526
RMDVR,950343,20015021
RMED,542293,11260840
RMEL,564926,11138344
RMER,375456,5077432
RMEV,734258,16348066
RMFL,656668,21233842
RMFR,612653,18735523
RMGL,620305,5734874
RMGR,543744,6039817
RMHL,767918,21449526
RMHR,624474,20656615
SAADL,675345,15110612
SAADR,682090,16790840
SAAVL,552460,12545977
SAAVR,564195,11984091
SABD,48639,227256
SDQL,245722,2372513
SDQR,390970,4242429
SIADL,774336,23378090
SIADR,721266,20828188
SIAVL,537559,4073850
SIAVR,597271,9459136
SIBDL,397810,2311013
SIBDR,403730,2882629
SIBVL,816060,19908893
SIBVR,775176,18346155
SMBDL,957210,26475632
SMBDR,1076925,30635665
SMBVL,1138587,28462268
SMBVR,982496,29803277
SMDDL,922061,24397710
SMDDR,926357,25358265
SMDVL,768458,17283717
SMDVR,763472,17685440
URADL,117501,716899
URADR,179256,1368391
URAVL,243555,3700961
URAVR,314479,7859308
URBL,290737,2517706
URBR,392299,9273218
URXL,676517,21436924
URXR,617628,21118502
URYDL,175464,1759894
URYDR,258320,3380234
URYVL,276937,3427131
URYVR,401824,11177588
VB01,95861,738729
VD01,94199,681514
