ar-end-2,ar-end-1,2,295870,5527,N930NR044,44,15612,10644,NR 45 deg
ar-end-9,ar-end-7,1,295978,5528,N930NR050,50,16000,10622,NR 45 deg
UNK,[hyp],1,296618,5529,N930NR061,61,10049,10544,NR 45 deg
contin10788,UNK,1,297336,5531,N930NR081,81,10111,10548,NR 45 deg
ABL-6,ABL-7,1,297295,5530,N930NR084,84,10430,10353,NR 45 deg
NBRP-2,ABR-11,1,297991,5532,N930NR121,121,16050,10587,NR 45 deg
[ADFR],ABR-6,1,298020,5533,N930NR127,127,16482,10888,NR 45 deg
contin10788,al-end-1,1,299176,5544,N930NR152,152,9621,10198,NR 45 deg
ar-end-5,"ar-end-3,ar-end-2",2,300031,5546,N930NR180,180,15560,9626,NR 45 deg
mdr-end-7,mdr-end-11,1,315797,5595,N930NR259,259,14878,5014,NR in plane
ar-end-19,"[ADFR],ar-end-22,ar-end-21",2,301710,5572,N930NR276,276,16777,10924,NR 45 deg
al-end-22,"[mus-al-2],URBL",2,302291,5573,N930NR284,284,9418,11097,NR 45 deg
ar-end-19,"ar-end-22,ar-end-21",2,302692,5571,N930NR285,285,16692,10860,NR 45 deg
IL2L,al-end-14,1,303026,5575,N930NR288,288,9252,10618,NR 45 deg
NBRP-2,ABR-6,2,303431,5574,N930NR321,321,16857,10040,NR 45 deg
mdl-end-5,"mdl-end-4,mdl-end-9",1,317219,5596,N930NR324,324,12880,5544,NR in plane
NBRP-2,ABR-4,1,303379,5576,N930NR328,328,16612,9762,NR 45 deg
ar-end-19,"[ADFR],ar-end-21",2,303556,5578,N930NR332,332,16936,10840,NR 45 deg
[ADFR],ABR-6,1,303464,5577,N930NR341,341,17056,10402,NR 45 deg
ABL-12,al-end-14,1,303808,5579,N930NR341,341,9094,10637,NR 45 deg
mdr-end-15,"mdr-end-12,mdr-end-13",1,317868,5597,N930NR359,359,14572,5162,NR in plane
al-end-22,al-end-23,1,304231,5580,N930NR360,360,9570,11432,NR 45 deg
ar-end-19,ar-end-21,3,304709,5582,N930NR381,381,17136,10818,NR 45 deg
ABR-11,"ar-end-2,ABR-3",1,304616,5581,N930NR388,388,16634,10118,NR 45 deg
[ADFR],"ar-end-19,RIPR",1,305835,5585,N930NR411,411,17056,10787,NR 45 deg
al-end-22,"ABL-3,al-end-18",2,305359,5583,N930NR413,413,9322,10604,NR 45 deg
ar-end-21,"[ADFR],[AFDR]",1,305818,5584,N930NR419,419,17290,10719,NR 45 deg
ar-end-19,"[ADFR],ar-end-21",2,306387,5586,N930NR479,479,17119,10459,NR 45 deg
ar-end-19,ar-end-mus-6,2,307146,5589,N930NR483,483,16932,10569,NR 45 deg
contin10788,ABL-10,1,277805,5103,N930NR0542,542,7893,8722,NR 45 deg
UNK,ABL-15,1,264821,4966,N930NR0558,558,8379,8908,NR 45 deg
ar-end-19,"ar-mus-8,ar-end-20",3,307651,5591,N930NR0558,558,15986,10090,NR 45 deg
al-end-22,[MDL-2],3,262518,4962,N930NR0603,603,9758,9545,NR 45 deg
NBRP-2,[MCMR],1,269648,4978,N930NR0623,623,16896,8950,NR 45 deg
RIH,"OLQDR,CEPDR",8,84490,737,N930NR0690,690,12873,7074,NR in plane
NBRP-2,unk,1,84682,738,N930NR0693,693,17064,10662,NR 45 deg
IL2DR,"NRDfrag,OLQDR,RIH",2,472467,740,N930NR0697,697,13140,7932,NR in plane
IL2DR,"OLQDR,RIH",1,86134,741,N930NR0701,701,11679,8892,NR 45 deg
RIH,"OLQDR,CEPDR",10,84912,739,N930NR0701,701,11992,8462,NR 45 deg
RIH,RIPR,2,284386,5224,N930NR0707,707,13791,10692,NR 45 deg
RIH,"OLQDR,CEPDR",5,86232,742,N930NR0709,709,13062,8204,NR 45 deg
IL2DR,RIH,1,466085,9992,N930NR0709,709,13766,9740,NR 45 deg
